Authors,Year,Article Title,Source Title,Abstract,DOI,Terrestrial/Aquatic,Ecosystem,Location,Study Type,Organism,Mechanism of Shift,Stressor Category,Specific Stressor,Measure,Method,Method Category,Asymmetric Rewiring Result,Habitat Coupling Result (Direction),Total Flux Result (Direction),Result description,Where result appears in paper,Model
"Hadayet Ullah, Ivan Nagelkerken, Silvan U. Goldenberg, Damien A. Fordham






",2018,Climate change could drive marine food web collapse through altered trophic flows and cyanobacterial proliferation,PLoS Biology,"Global warming and ocean acidification are forecast to exert significant impacts on marine ecosystems worldwide. However, most of these projections are based on ecological proxies or experiments on single species or simplified food webs. How energy fluxes are likely to change in marine food webs in response to future climates remains unclear, hampering forecasts of ecosystem functioning. Using a sophisticated mesocosm experiment, we model energy flows through a species-rich multilevel food web, with live habitats, natural abiotic variability, and the potential for intra- and intergenerational adaptation. We show experimentally that the combined stress of acidification and warming reduced energy flows from the first trophic level (primary producers and detritus) to the second (herbivores), and from the second to the third trophic level (carnivores). Warming in isolation also reduced the energy flow from herbivores to carnivores, the efficiency of energy transfer from primary producers and detritus to herbivores and detritivores, and the living biomass of detritivores, herbivores, and carnivores. Whilst warming and acidification jointly boosted primary producer biomass through an expansion of cyanobacteria, this biomass was converted to detritus rather than to biomass at higher trophic levelsÑi.e., production was constrained to the base of the food web. In contrast, ocean acidification affected the food web positively by enhancing trophic flow from detritus and primary producers to herbivores, and by increasing the biomass of carnivores. Our results show how future climate change can potentially weaken marine food webs through reduced energy flow to higher trophic levels and a shift towards a more detritus-based system, leading to food web simplification and altered producer-consumer dynamics, both of which have important implications for the structuring of benthic communities.","https://doi.org/10.1371/journal.
pbio.2003446",Aquatic,Marine,"University of Adelaide, Australia - Gulf St. Vincent, South Australia system",Experimental treatment,Whole food web,Density,Climate change,Warming and acidification,The total amount of energy (log10 g Wet Weight/m2/month) that flows to higher trophic levels through consumption of resources related to the detrital and algal food web compartments. ,Ecopath ,Energetic modelling,Yes,Decrease,Decrease,"The study demonstrates that organisms in the marine food web experienced a shift in primary production from algae to detritus due to climate stressors, specifically warming and acidification. Warming led to an increase in cyanobacterial biomass, replacing palatable turf algae and reducing energy flow from primary producers to herbivores. As a result, more primary production was converted into detritus rather than being transferred up the food web. This shift constrained energy transfer efficiency, leading to lower biomass at higher trophic levels. Overall, the study found that the transition to a more detritus-based system resulted in a less even distribution of energy transfer, with reduced flow to consumers and increased accumulation of detrital biomass at the base of the food web. ",Figure 3b; Table S3,Mass-balanced food web models (Ecopath)
Tyler D. Tunney and Kevin S. McCann and Nigel P. Lester and Brian J. Shuter,2014,Effects of differential habitat warming on complex communities,Proceedings Of The National Academy Of Sciences Of The United States Of America,"Food webs unfold across a mosaic of micro and macro habitats, with each habitat coupled by mobile consumers that behave in response to local environmental conditions. Despite this fundamental characteristic of nature, research on how climate change will affect whole ecosystems has overlooked (i) that climate warming will generally affect habitats differently and (ii) that mobile consumers may respond to this differential change in a manner that may fundamentally alter the energy pathways that sustain ecosystems. This reasoning suggests a powerful, but largely unexplored, avenue for studying the impacts of climate change on ecosystem functioning. Here, we use lake ecosystems to show that predictable behavioral adjustments to local temperature differentials govern a fundamental structural shift across 54 food webs. Data show that the trophic pathways from basal resources to a cold-adapted predator shift toward greater reliance on a cold-water refuge habitat, and food chain length increases, as air temperatures rise. Notably, cold-adapted predator behavior may substantially drive this decoupling effect across the climatic range in our study independent of warmer-adapted species responses (for example, changes in near-shore species abundance and predator absence). Such modifications reflect a flexible food web architecture that requires more attention from climate change research. The trophic pathway restructuring documented here is expected to alter biomass accumulation, through the regulation of energy fluxes to predators, and thus potentially threatens ecosystem sustainability in times of rapid environmental change.",10.1073/pnas.1319618111,Aquatic,Lake,"Ontario, Canada",Spatial,Lake trout (Salvelinus namaycush),Accessibility,Climate change,Warming,% littoral derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Under  warmer conditions, lake trout carbon signatures shifted toward cold-water baseline sources, indicating a proportionally stronger dependence on offshore phytoplankton production.","Figure 2a and b, Figure3a",two source mixing model
Pia Bartels and Philipp Emanuel Hirsch and Richard Svanback and Peter Eklov,2016,Dissolved Organic Carbon Reduces Habitat Coupling by Top Predators in Lake Ecosystems,Ecosystems,"Increasing input of terrestrial dissolved organic carbon (DOC) has been identified as a widespread environmental phenomenon in many aquatic ecosystems. Terrestrial DOC influences basal trophic levels: it can subsidize pelagic bacterial production and impede benthic primary production via light attenuation. However, little is known about the impacts of elevated DOC concentrations on higher trophic levels, especially on top consumers. Here, we used Eurasian perch (Perca fluviatilis) to investigate the effects of increasing DOC concentrations on top predator populations. We applied stable isotope analysis and geometric morphometrics to estimate long-term resource and habitat utilization of perch. Habitat coupling, the ability to exploit littoral and pelagic resources, strongly decreased with increasing DOC concentrations due to a shift toward feeding predominantly on pelagic resources. Simultaneously, resource use and body morphology became increasingly alike for littoral and pelagic perch populations with increasing DOC, suggesting more intense competition in lakes with high DOC. Eye size of perch increased with increasing DOC concentrations, likely as a result of deteriorating visual conditions, suggesting a sensory response to environmental change. Increasing input of DOC to aquatic ecosystems is a common result of environmental change and might affect top predator populations in multiple and complex ways.",10.1007/s10021-016-9978-x,Aquatic,Lake,Swedish lakes,Spatial,Yellow perch (Perca flavescens),Accessibility,Climate change,DOC loading ,% littoral derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,Habitat coupling by yellow perch decreased with increasing DOC concentrations. ,Figure 3d,"IsoError mixing model, mixed effects models"
Gideon L. van den Berg and Els Vermeulen and Luciano O. Valenzuela and Martine Berube and Andre Ganswindt and Darren R. Grocke and Grant Hall and Pavel Hulva and Petra Neveceralova and Per J. Palsboll and Emma L. Carroll,2021,Decadal shift in foraging strategy of a migratory southern ocean predator,Global Change Biology,"Rapid anthropogenic environmental change is expected to impact a host of ecological parameters in Southern Ocean ecosystems. Of critical concern are the consequences of these changes on the range of species that show fidelity to migratory destinations, as philopatry is hypothesized to help or hinder adaptation to climate change depending on the circumstances. Many baleen whales show philopatry to feeding grounds and are also capital breeders that meet migratory and reproductive costs through seasonal energy intake. Southern right whales (Eubalaena australis, SRWs) are capital breeders that have a strong relationship between reproductive output and foraging success. The population dynamics of South Africa's population of SRWs are characterized by two distinct periods: the 1990s, a period of high calving rates; and the late 2010s, a period associated with lowered calving rates. Here we use analyses of stable carbon (delta C-13) and nitrogen (delta N-15) isotope values from SRW biopsy samples (n = 122) collected during these two distinct periods to investigate foraging ecology of the South African population of SRWs over a time period coincident with the demographic shift. We show that South African SRWs underwent a dramatic northward shift, and diversification, in foraging strategy from 1990s to 2010s. Bayesian mixing model results suggest that during the 1990s, South African SRWs foraged on prey isotopically similar to South Georgia/Islas Georgias del Sur krill. In contrast, in the 2010s, South African SRWs foraged on prey isotopically consistent with the waters of the Subtropical Convergence, Polar Front and Marion Island. We hypothesize that this shift represents a response to changes in preferred habitat or prey, for example, the decrease in abundance and southward range contraction of Antarctic krill. By linking reproductive decline to changing foraging strategies for the first time in SRWs, we show that altering foraging strategies may not be sufficient to adapt to a changing ocean.",10.1111/gcb.15465,Aquatic,Marine,South Africa,Temporal,Southern Right Whales (Eubalaena australis),Density,Climate change,Productivity changes; Range shifts,source contribution to diet,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Skin samples from SRWs collected in different decades (1990 and 2010) show significant differences in d13C values and d15N values. Post hoc Dunn's multiple comparisons tests indicated that d13C values for the years 2019, 2016 and 2015 were all significantly higher than the d13C values for the years 1995, 1996 and 1997. The mixing models presented here reveal that a northward shift in the foraging of South African SRWs has likely occurred recently. The findings of Tormosov et al. (1998), which show that SRWs mostly feed on krill when south of 50 degrees, and copepods when north of 40 degrees, suggest that the northward shift in foraging presented here is likely accompanied by an increasing proportion of copepods in the diet of SRWs. The authors argue that shift in foraging strategy could be linked to an increase in productivity in the region between the STC and PF: the Sub Antarctic Zone (SAAZ).",Figure S2; Figure 3,MixSIAR
"Almela, Pablo and Rico, Eugenio and VelÌÁzquez, David and Verleyen, Elie and Quesada, Antonio",2023,Soil moisture drives differences in the diversity and trophic complexity of high Arctic tundra soils,Fems Microbiology Ecology,"The Arctic soil communities play a vital role in stabilizing and decomposing soil carbon, which affects the global carbon cycling. Studying the food web structure is critical for understanding biotic interactions and the functioning of these ecosystems. Here, we studied the trophic relationships of (microscopic) soil biota of two different Arctic spots in Ny-ÌÉlesund, Svalbard, within a natural soil moisture gradient by combining DNA analysis with stable isotopes as trophic tracers. The results of our study suggested that the soil moisture strongly influenced the diversity of soil biota, with the wetter soil, having a higher organic matter content, hosting a more diverse community. Based on a Bayesian mixing model, the community of wet soil formed a more complex food web, in which bacterivorous and detritivorous pathways were important in supplying carbon and energy to the upper trophic levels. In contrast, the drier soil showed a less diverse community, lower trophic complexity, with the green food web (via unicellular green algae and gatherer organisms) playing a more important role in channelling energy to higher trophic levels. These findings are important to better understand the soil communities inhabiting the Arctic, and for predicting how the ecosystem will respond to the forthcoming changes in precipitation regimes.",10.1093/femsec/fiad050,Terrestrial ,Arctic,"Svalbard, Norway",Spatial,"Soil consumers: Tardigrada, Ro-tifera, Nematoda, Acari, Collembola, and Copepoda",Density,Climate change,Drought,% bacterial derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"In the wet site (WS), bacteria make a significant contribution to the top level consumers in the soil food web. The wetter soil in WS supports a more diverse bacterial community, which plays a crucial role in nutrient recycling and organic matter decomposition. The bacterial community in WS, particularly the families Sphingomonadaceae, Acetobacteraceae, and Hyphomicrobiaceae, serves as an important carbon source for consumers in the soil food web. In contrast, the drier soil in the dry site (DS) has a less diverse bacterial community and lower trophic complexity. The contribution of bacteria to top level consumers in DS is signficantly less as in WS.",Figure 3b,simmr
"Philip J. Manlick, Nolan L. Perryman, Amanda M. Koltz, Joseph A. Cook & Seth D. Newsome ",2024,Climate warming restructures food webs and carbon flow in high-latitude ecosystems,Nature Climate Change,"Rapid warming of high-latitude ecosystems is increasing microbial activity and accelerating the decomposition of permafrost soils. This proliferation of microbial energy could restructure high-latitude food webs and alter carbon cycling between above-ground and below-ground habitats. We used stable isotope analysis (_13C) of amino acids to trace carbon flow through food webs exposed to warming and quantified changes in the assimilation of microbial carbon by Arctic tundra and boreal forest consumers. From 1990 to 2021, small mammals in boreal forests exhibited a significant reduction in the use of plant-based ÔgreenÕ food webs and an increased use of microbially mediated ÔbrownÕ food webs, punctuated by a >30% rise in fungal carbon assimilation. Similarly, fungal carbon assimilation rose 27% in wolf spiders under experimental warming in Arctic tundra. These findings reveal a climate-mediated ÔbrowningÕ of high-latitude food webs and point to an understudied pathway by which animals can impact carbon cycling under climate warming.",https://doi.org/10.1038/s41558-023-01893-0,Terrestrial,Forest,"Bonanza Creek Long-Term Ecological Research (LTER) site in Fairbanks, Alaska",Temporal,Predatory shrew (Sorex cinereus),Density,Climate change,Warming,% fungal derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Authors analyzed carbon isotopes from predatory shrew (Sorex cinereus) samples collected in 1990 and 2021 from Arctic tundra sites and found that they exhibited a significant reduction in the use of resources derived from the plant-based ÔgreenÕ food web compartment and a dramatic increase in the use of resources from derived from the microbial ""brown"" food web compartment, leading to more equal contribution of green and brown pathways to small mammal consumers. Specifically, the proportion of energy derived from the fungal pathway was approximately 0.85 in 2021 compared to approximately 0.50 in 1990, and was offset by a >40% decline in plant C contributions from 1990 to 2021. To confirm these results, the authors experimentally warmed plots with predatory wolf spiders, and found that their fungal carbon assimilation rose by 27% under experimental warming in Arctic tundra, while plant-assimilated carbon showed a concomitant decrease. ",Figure 1; Figure 2,simmr
"Ulrike Braeckman, Karline Soetaert, Francesca Pasotti, Maria Liliana Quartino, Ann Vanreusel, Leonardo A. Saravia, Irene R. Schloss, Dick van Oevelen







",2024,Glacial melt impacts carbon flows in an Antarctic benthic food web,Frontiers in Marine Science,"Most coastal glaciers on the West Antarctic Peninsula are in retreat. Glacial ice scouring and lithogenic particle runoff increase turbidity and shape soft sediment benthic communities. This, in turn, has the potential to induce a shift in these systems from an autotrophic to a heterotrophic state. In this study, we investigated the influence of glacial runoff on carbon flows in the soft-sediment food web of Potter Cove, a well-studied shallow fjord located in the northern region of the West Antarctic Peninsula. We constructed linear inverse food web models using a dataset that includes benthic carbon stocks as well as carbon production and respiration rates. The dataset offers detailed spatial information across three locations and seasonal variations spanning three seasons, reflecting different degrees of disturbance from glacial melt runoff. In these highly resolved food web models, we quantified the carbon flows from various resource compartments (phytoplankton detritus, macroalgae, microphytobenthos, sediment detritus) to consumers (ranging from prokaryotes to various functional groups in meio- and macrofauna). Locations and seasons characterized by high glacial melt runoff exhibited distinct patterns of carbon flow compared to those with low glacial melt runoff. This difference was primarily driven by a less pronounced benthic primary production pathway, an impaired microbial loop and a lower secondary production of the dominant bivalve Aequiyoldia eightsii and other infauna in the location close to the glacier. In contrast, the bivalve Laternula elliptica and meiofauna had the highest secondary production close to the glacier, where they are exposed to high glacial melt runoff. This study shows how the effects of glacial melt propagate from lower to higher trophic levels, thereby affecting the transfer of energy in the ecosystem.",https://doi.org/10.3389/fmars.2024.1359597,Aquatic,Marine,"Potter Cove, King George Island/Isla de Mayo, Antarctic Peninsula",Spatial,Whole food web,Density,Climate change,Glacial melting,Carbon flows (mmol C m-2 d-1) through macroalgae and microphytobenthos pathway,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,Decrease,"The benthic primary production pathway was of significantly lower magnitude closest to the retreating glacier (Isla D) and in the seasons experiencing strongest glacial runoff. However, the macroalgae pathway and its individual flows were not impacted by glacial runoff (no significant differences across sites or seasons). Total system throughput (summed carbon flows, mmol C m-2 d-1) in Summer 2015 was 32 and 36% lower at the site closest to the glacier (Isla D) than at Creek and Faro, respectively, suggesting reduced carbon flow through the food web in sites and seasons with increased glacial run-off. In turn, grazing on microphytobenthos was important in Faro and Creek (22 Ð30% of carbon ingestion pathways) and significantly lower at Isla D. The authors argue that glacial runoff leads to a less intense benthic primary production pathway (more uneven contribution of carbon from different compartments to consumers), a weaker microbial loop, and reduced secondary production of infaunal species that are not adapted to continual sediment deposition (filter feeders, and large deposit-feeding bivalves).",Section 3. 2. 3; Figure 6b; Table S9; Figure 7,Linear inverse food web models
"Michelle C. Jackson, Eoin J. O'Gorman, Bruno Gallo, Sarah F. Harpenslager, Kate Randall, Danielle N. Harris, Hannah Prentice, Mark Trimmer, Ian Sanders, Alex J. Dumbrell, Tom C. Cameron, Katrin Layer-Dobra, Yulia Bespalaya, Olga Aksenova, Nikolai Friberg, Luis Moliner Cachazo, Stephen J. Brooks, Guy Woodward",2024,Warming reduces trophic diversity in high-latitude food webs,Global Change Biology,"The physical effects of climate warming have been well documented, but the biological responses are far less well known, especially at the ecosystem level and at large (intercontinental) scales. Global warming over the next century is generally predicted to reduce food web complexity, but this is rarely tested empirically due to the dearth of studies isolating the effects of temperature on complex natural food webs. To overcome this obstacle, we used Ônatural experimentsÕ across 14 streams in Iceland and Russia, with natural warming of up to 20¡C above the coldest stream in each high-latitude region, where anthropogenic warming is predicted to be especially rapid. Using biomass-weighted stable isotope data, we found that community isotopic divergence (a universal, taxon-free measure of trophic diversity) was consistently lower in warmer streams. We also found a clear shift towards greater assimilation of autochthonous carbon, which was driven by increasing dominance of herbivores but without a concomitant increase in algal stocks. Overall, our results support the prediction that higher temperatures will simplify high-latitude freshwater ecosystems and provide the first mechanistic glimpses of how warming alters energy transfer through food webs at intercontinental scales.",https://doi.org/10.1111/gcb.17518,Aquatic,Stream,"Hengill, Iceland and Kamchatka, Russia,",Spatial,Benthic invertebrates,Density,Climate change,Warming,Carbon position (proportion allochtony) calculated using stable isotopes of C,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Authors found that trrophic diversity decreased, while autochthony increased with warming, suggesting lower trophic variation between species and convergence on the ÔgreenÕ trophic pathway, despite no change in the standing stock of this resource. This is supported by the taxonomic results, revealing an overall decline in invertebrate richness at high temperatures, but an increase in herbivore biomass.",Figure 1c,Two-source mixing model (Cucherousset and Villger 2015)
"Maria Vernet, Tammi L. Richardson, Katja Metfies, Eva-Maria Nthig, Ilka Peeken",2017,Models of Plankton Community Changes during a Warm Water Anomaly in Arctic Waters Show Altered Trophic Pathways with Minimal Changes in Carbon Export,Frontiers in Marine Science,"Carbon flow through pelagic food webs is an expression of the composition, biomass, and activity of phytoplankton as primary producers. In the near future, severe environmental changes in the Arctic Ocean are expected to lead to modifications of phytoplankton communities. Here, we used a combination of linear inverse modeling and ecological network analysis to study changes in food webs before, during, and after an anomalous warm water event in the eastern Fram Strait of the West Spitsbergen Current (WSC) that resulted in a shift from diatoms to flagellates during the summer (JuneÐJuly). The model predicts substantial differences in the pathways of carbon flow in diatom- vs. Phaeocystis/nanoflagellate-dominated phytoplankton communities, but relatively small differences in carbon export. The model suggests a change in the zooplankton community and activity through increasing microzooplankton abundance and the switching of meso- and macrozooplankton feeding from strict herbivory to omnivory, detritivory, and coprophagy. When small cells and flagellates dominated, the phytoplankton carbon pathway through the food web was longer and the microbial loop more active. Furthermore, one step was added in the flow from phytoplankton to mesozooplankton, and phytoplankton carbon to higher trophic levels is available via detritus or microzooplankton. Model results highlight how specific changes in phytoplankton community composition, as expected in a climate change scenario, do not necessarily lead to a reduction in carbon export.",10.3389/fmars.2017.00160,Aquatic,Marine,Eastern Fram Strait (Arctic Ocean) in the West Spitsbergen Current (WSC) region,Temporal,Meso- and Macro-zooplankton,Density,Climate change,Warming,Relative amount of carbon flow (mg Cm_2 d_1) to meso and macrozooplankton through detrital and phytoplankton food web compartments,Linear inverse model,Energetic modelling,Yes,Increase,Increase,"During the warming event in the eastern Fram Strait, trophic pathways from detritus and algae to zooplankton were significantly altered. The phytoplankton community shifted from being dominated by large diatoms to Phaeocystis and nanoflagellates, leading to an increase in microzooplankton and a shift in meso- and macrozooplankton feeding behaviors. Before the warming event, mesozooplankton grazed on both large phytoplankton (60 mg C m__ d__) and detritus (24 mg C m__ d__). However, during and after the warming event, their reliance on detritus increased dramatically (to 242 mg C m__ d__ during and 137 mg C m__ d__ after), while direct grazing on large phytoplankton decreased significantly (to just 2 mg C m__ d__ during and 16 mg C m__ d__ after). Before the warming event, macrozooplankton primarily consumed large phytoplankton (164 mg C m__ d__) and relied less on detritus (18 mg C m__ d__). However, during and after the warming event, their diet became more varied, with direct grazing on large phytoplankton dropping substantially (to 21 mg C m__ d__ during and 55 mg C m__ d__ after). At the same time, their consumption of detritus increased moderately (to 25 mg C m__ d__ during and 48 mg C m__ d__ after), and they also incorporated more microzooplankton (rising from 19 mg C m__ d__ before to 36 mg C m__ d__ during and 32 mg C m__ d__ after). This shift suggests that while macrozooplankton remained omnivorous, their reliance on herbivory decreased, and they became more dependent on secondary consumers and detrital pathways. ",Table 1; Figure 2; Figure 3,Linear inverse modeling (EcoNetwork)
"Dylan G. E. Gomes, James J. Ruzicka, Lisa G. Crozier, David D. Huff, Richard D. Brodeur & Joshua D. Stewart ",2024,Marine heatwaves disrupt ecosystem structure and function via altered food webs and energy flux,Nature Communications,"The prevalence and intensity of marine heatwaves is increasing globally, disrupting local environmental conditions. The individual and population-level impacts of prolonged heatwaves on marine species have recently been demonstrated, yet whole-ecosystem consequences remain unexplored. We leveraged time series abundance data of 361 taxa, grouped into 86 functional groups, from six long-term surveys, diet information from a new diet database, and previous modeling efforts, to build two food web networks using an extension of the popular Ecopath ecosystem modeling framework, Ecotran. We compare ecosystem models parameterized before and after the onset of recent marine heatwaves to evaluate the cascading effects on ecosystem structure and function in the Northeast Pacific Ocean. While the ecosystem-level contribution (prey) and demand (predators) of most functional groups changed following the heatwaves, gelatinous taxa experienced the largest transformations, underscored by the arrival of northward-expanding pyrosomes. We show altered trophic relationships and energy flux have potentially profound consequences for ecosystem structure and function, and raise concerns for populations of threatened and harvested species.
",https://doi.org/10.1038/s41467-024-46263-2,Aquatic,Marine,"Northern California Current (Norteast Pacific Ocean, Vancouver Island, British Columbia, Canada to Cape Mendocino, California, United States)",Temporal,Whole food web,Density,Climate change,Extreme weather event (heat wave),The proportion of consumption that is allocated from specific functional groups to living consumer group types.,Ecopath with Ecotran,Energetic modelling,Yes,Increase,Decrease,"Energetic consumption of lower trophic levels and contribution to predators shifted markedly between pre- and post-heatwave periods. Before MHWs, predators relied heavily on pelagic energy pathways fueled by phytoplankton-fed taxa like krill, amphipods, pteropods, and sardines. During MHWs, these groups declined, weakening the pelagic pathway, causing more equal contributions of resources from benthic and pelagic pathways to predators. A rapid expansion of Pyrosoma atlanticum (a gelatinous filter-feeder) disrupted energy routing by diverting primary production away from traditional prey. Over 98% of pyrosome biomass entered detritus pools, limiting energy transfer to higher trophic levels. ",Figure 1; Figure 2b,Ecopath with Ecotran food web networks before and during recent marine heatwaves (MHWs).
Brian Hayden and Tiina Holopainen and Per-Arne Amundsen and Antti P. Eloranta and Rune Knudsen and Kim Praebel and Kimmo K. Kahilainen,2013,Interactions between invading benthivorous fish and native whitefish in subarctic lakes,Freshwater Biology,"Many species are expanding their distribution towards higher latitudes and altitudes in response to climate change. These range shifts are expected to change fish community structure and alter food-web dynamics in subarctic lakes. However, the impacts of invading species on native fish and invertebrate prey communities remain understudied. The trophic ecology of invasive species determines the likelihood of direct resource competition with native taxa. In Northern Europe, perch (Perca fluviatilis), a trophic generalist, and ruffe (Gymnocephalus cernuus), a benthic specialist, are expanding their distribution ranges northwards, colonising lakes inhabited by a native generalist, whitefish (Coregonus lavaretus). We predicted that increased fish diversity and density would deplete the invertebrate community and increase resource competition between native and invasive species. To assess the degree of resource competition between native and invasive species, we compared (i) fish and invertebrate community structure; (ii) diet and stable carbon and nitrogen ratios of whitefish, ruffe and perch and (iii) growth, condition and relative population size of whitefish in two non-invaded lakes with two lakes containing one and two lakes containing both invasive species. Each lake was sampled on a single occasion between August and September. Benthic macroinvertebrate density and community structure were unaffected by increased consumer diversity, while top-down control of pelagic zooplankton density and size was evident in lakes with increased fish diversity. Differences in diet and stable isotope ratios were evident between all whitefish populations, although these were not directly related to the presence of invasive species. Specialised adaptations of invasive species may confer a competitive advantage in invaded lakes; ruffe dominated the profundal niche, while perch displayed an ontogenetic shift to piscivory, reducing niche overlap with native whitefish. Growth rate and population density of whitefish were largely independent of fish community structure and were governed by local variations in lake productivity. However, there was a sign of lowered condition of whitefish in invaded systems. Shallow and more productive lakes with higher food availability supported populations of native and invasive species. Our findings indicate that trophic specialisations of invasive species play a key role in determining their impacts on the systems they invade. This study focussed on early stages of invasion, and the outcome of species interactions may change following the establishment of new species. In addition, these impacts will not be uniform across the invaded landscape as lake-specific variations in morphometry and resource availability will alter the competitive balance between native and invasive species.",10.1111/fwb.12123,Aquatic,Lake,Northern Europe,Spatial,Whitefish (Coregonus lavaretus),Density,Climate change,Range shifts,% profundal carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Increase,NA,"Native whitefish are not observed to couple into profundal habitats in non-invaded lakes, however, they rely on profundal derived carbon extensively in the presence of non-native ruffe and perch. The SIAR mixing model suggests a significant change in whitefish diets in lakes with invasive species compared to those without. The stable isotope analysis revealed that the relative proportion of littoral, pelagic, and profundal resources in the diet of whitefish varied between lakes within each community type.  These results indicate that the presence of invasive species (perch and ruffe) has influenced the resource use and diet composition of whitefish in the invaded lakes.",Table 4,SIAR
"Melissa A McKinney, Sara J Iverson, Aaron T Fisk, Christian Sonne, Frank F Rigt, Robert J Letcher, Michael T Arts, Erik W Born, Aqqalu Rosing-Asvid, Rune Dietz",2013,Global change effects on the long-term feeding ecology and contaminant exposures of East Greenland polar bears,Global Change Biology,"Rapid climate changes are occurring in the Arctic, with substantial repercussions for arctic ecosystems. It is challenging to assess ecosystem changes in remote polar environments, but one successful approach has entailed monitoring the diets of upper trophic level consumers. Quantitative fatty acid signature analysis (QFASA) and fatty acid carbon isotope (_(13) C-FA) patterns were used to assess diets of East Greenland (EG) polar bears (Ursus maritimus) (n = 310) over the past three decades. QFASA-generated diet estimates indicated that, on average, EG bears mainly consumed arctic ringed seals (47.5 ± 2.1%), migratory subarctic harp (30.6 ± 1.5%) and hooded (16.7 ± 1.3%) seals and rarely, if ever, consumed bearded seals, narwhals or walruses. Ringed seal consumption declined by 14%/decade over 28 years (90.1 ± 2.5% in 1984 to 33.9 ± 11.1% in 2011). Hooded seal consumption increased by 9.5%/decade (0.0 ± 0.0% in 1984 to 25.9 ± 9.1% in 2011). This increase may include harp seal, since hooded and harp seal FA signatures were not as well differentiated relative to other prey species. Declining _(13) C-FA ratios supported shifts from more nearshore/benthic/ice-associated prey to more offshore/pelagic/open-water-associated prey, consistent with diet estimates. Increased hooded seal and decreased ringed seal consumption occurred during years when the North Atlantic Oscillation (NAO) was lower. Thus, periods with warmer temperatures and less sea ice were associated with more subarctic and less arctic seal species consumption. These changes in the relative abundance, accessibility, or distribution of arctic and subarctic marine mammals may have health consequences for EG polar bears. For example, the diet change resulted in consistently slower temporal declines in adipose levels of legacy persistent organic pollutants, as the subarctic seals have higher contaminant burdens than arctic seals. Overall, considerable changes are occurring in the EG marine ecosystem, with consequences for contaminant dynamics.",10.1111/gcb.12241,Terrestrial,Arctic,East Greenland,Temporal,Polar bear (Ursus maritimus),Accessibility,Climate change,North Atlantic Oscillations (temperature),% prey contribution to bear d13C FA signature,Stable Isotope Analysis of Fatty Acids,Stable Isotope Analysis,Yes,Increase,NA,"Diets of polar bears shifted from mainly arctic(ice-associated) seal species in the early 1980s to mainly subarctic (pelagic) seal species (harp and hooded seals combined) in more recent years. These results suggest upper food web changes within this ecosystem as the climate has warmed and the sea ice has declined over the past three decades. The authors suggest increased consumption of pelagic seals is also related to the North atlantic oscillations, as ringed seal (ice-associated prey) consumption was negatively correlated with NOA, whereas hooded (pelagic seal) consumption was positively related to NOA, which reflects temperature induced changes in pelagic-ice habitat coupling. Since polar bears were historically highly dependent on ice-associated seals and did not consume pelagic seals, the authors show that habitat coupling among these compartments has increased over time. Polar bears from the EG subpopulation consumed more hooded seal and less ringed seal in years with lower NAO. Thus, periods with warmer temperatures and less ice in EG are suggested to result in conditions conducive to higher subarctic but lower arctic seal densities or accessibility to polar bears. Although authors did not find a relationship of diets to Greenland Sea ice area, they do suggest that temperature may drive changes in prey accessibility as other studies have found such patterns. ",Fgiure 5,"QFASA modeling approach (infers diet by matching a predatorÕs fatty acid profile to those of its prey, accounting for metabolic alterations using calibration coefficients. Trends in diet proportions and ___C-FA values were analyzed using linear regression and transformations appropriate for proportional data (e.g., arcsin)."
